LEARN @ LVL, NAME,SKILL_ID,TYPE,WEAPON,WEIGHT,RANGE,AOE,TARGET, CAST s,CD s,DURRATION s, DESCR,MP,SP COST,Gold,SP Bottles,REPLACES,RACE,Comment
,,,,,,,,,,,,,,,,,,,==== SP CONSUMATION PER LEVEL ====
,,,,,,,,,,,,,,,,,,,76 - 6.5kk SP + 1kk Gold
,,,,,,,,,,,,,,,,,,,77 - 11kk SP + 1kk Gold
,,,,,,,,,,,,,,,,,,,78 - 16kk SP + 1kk Gold
,,,,,,,,,,,,,,,,,,,79 - 80kk SP + 1kk Gold
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,80 - 150kk SP + 10kk gold (New Skills/Ultimates)| Old-LvlUp -> 5kk Gold 
,,,,,,,,,,,,,,,,,,,81 - 200kk SP + 25kk gold (New Skills/Ultimates)| Old-LvlUp -> 7.5kk Gold 
,,,,,,,,,,,,,,,,,,,82 - 300kk SP + 50kk gold (New Skills/Ultimates)| Old-LvlUp -> 10kk Gold 
,,,,,,,,,,,,,,,,,,,83 - 500kk SP + 100kk gold (New Skills/Ultimates)| Old-LvlUp -> 15kk Gold 
,,,,,,,,,,,,,,,,,,,84 - 100kk gold + 2-SP bottles (New Skills/Ultimates)| Old-LvlUp -> 30kk Gold 
,,,,,,,,,,,,,,,,,,,85 - 100kk gold + 5-SP bottles (New Skills/Ultimates)| Old-LvlUp -> 50kk Gold 
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,86 - Old-LvlUp -> 75kk Gold 
,,,,,,,,,,,,,,,,,,,87 - Old-LvlUp -> 75kk Gold 
,,,,,,,,,,,,,,,,,,,88 - Old-LvlUp -> 100kk Gold 
,,,,,,,,,,,,,,,,,,,89 - Old-LvlUp -> 100kk Gold 
,,,,,,,,,,,,,,,,,,,90 - Old-LvlUp -> 100kk Gold 
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1 SP bottle = 1kkk SP + 100kk Gold (sells back for 100kk; drinking returns the 1kkk SP and no gold)
85,Magic Arrow,archer_elf_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +3500 power (physical) and decreases Atack speed and Move speed with 30%;",208,0,50kk,,,Elf
86,Magic Arrow,archer_elf_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +3600 power (physical) and decreases Atack speed and Move speed with 30%;",213,0,75kk,,,Elf
87,Magic Arrow,archer_elf_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +3700 power (physical) and decreases Atack speed and Move speed with 30%;",217,0,100kk,,,Elf
88,Magic Arrow,archer_elf_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +3800 power (physical) and decreases Atack speed and Move speed with 30%;",224,0,100kk,,,Elf
89,Magic Arrow,archer_elf_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +3900 power (physical) and decreases Atack speed and Move speed with 30%;",230,0,100kk,,,Elf
90,Magic Arrow,archer_elf_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +4000 power (physical) and decreases Atack speed and Move speed with 30%;",235,0,100kk,,,Elf
,,,,,,,,,,,,,,,,,,,----------------------------Magic Arrow----------------------------
76,Magic Arrow,archer_demon_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +2600 power (physical) and decreases P.Def and P.Atk with 30%;",158,6.5kk,1kk,,,Demon
77,Magic Arrow,archer_demon_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +2700 power (physical) and decreases P.Def and P.Atk with 30%;",164,11kk,1kk,,,Demon
78,Magic Arrow,archer_demon_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +2800 power (physical) and decreases P.Def and P.Atk with 30%;",169,16kk,1kk,,,Demon
79,Magic Arrow,archer_demon_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +2900 power (physical) and decreases P.Def and P.Atk with 30%;",173,80kk,1kk,,,Demon
80,Magic Arrow,archer_demon_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +3000 power (physical) and decreases P.Def and P.Atk with 30%;",180,0,5kk,,,Demon
81,Magic Arrow,archer_demon_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +3100 power (physical) and decreases P.Def and P.Atk with 30%;",186,0,7.5kk,,,Demon
82,Magic Arrow,archer_demon_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +3200 power (physical) and decreases P.Def and P.Atk with 30%;",191,0,10kk,,,Demon
83,Magic Arrow,archer_demon_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +3300 power (physical) and decreases P.Def and P.Atk with 30%;",195,0,15kk,,,Demon
84,Magic Arrow,archer_demon_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +3400 power (physical) and decreases P.Def and P.Atk with 30%;",202,0,30kk,,,Demon
85,Magic Arrow,archer_demon_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +3500 power (physical) and decreases P.Def and P.Atk with 30%;",208,0,50kk,,,Demon
86,Magic Arrow,archer_demon_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +3600 power (physical) and decreases P.Def and P.Atk with 30%;",213,0,75kk,,,Demon
87,Magic Arrow,archer_demon_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +3700 power (physical) and decreases P.Def and P.Atk with 30%;",217,0,100kk,,,Demon
88,Magic Arrow,archer_demon_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +3800 power (physical) and decreases P.Def and P.Atk with 30%;",224,0,100kk,,,Demon
89,Magic Arrow,archer_demon_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +3900 power (physical) and decreases P.Def and P.Atk with 30%;",230,0,100kk,,,Demon
90,Magic Arrow,archer_demon_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,15,"Shot arrow dealing +4000 power (physical) and decreases P.Def and P.Atk with 30%;",235,0,100kk,,,Demon
,,,,,,,,,,,,,,,,,,,----------------------------Magic Arrow----------------------------
76,Magic Arrow,archer_human_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,5,"Shot arrow dealing +2600 power (physical) and stunning the target;",158,6.5kk,1kk,,,Human
77,Magic Arrow,archer_human_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,5,"Shot arrow dealing +2700 power (physical) and stunning the target;",164,11kk,1kk,,,Human
78,Magic Arrow,archer_human_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,5,"Shot arrow dealing +2800 power (physical) and stunning the target;",169,16kk,1kk,,,Human
79,Magic Arrow,archer_human_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,5,"Shot arrow dealing +2900 power (physical) and stunning the target;",173,80kk,1kk,,,Human
80,Magic Arrow,archer_human_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,5,"Shot arrow dealing +3000 power (physical) and stunning the target;",180,0,5kk,,,Human
81,Magic Arrow,archer_human_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,5,"Shot arrow dealing +3100 power (physical) and stunning the target;",186,0,7.5kk,,,Human
82,Magic Arrow,archer_human_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,5,"Shot arrow dealing +3200 power (physical) and stunning the target;",191,0,10kk,,,Human
83,Magic Arrow,archer_human_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,5,"Shot arrow dealing +3300 power (physical) and stunning the target;",195,0,15kk,,,Human
84,Magic Arrow,archer_human_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,5,"Shot arrow dealing +3400 power (physical) and stunning the target;",202,0,30kk,,,Human
85,Magic Arrow,archer_human_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,5,"Shot arrow dealing +3500 power (physical) and stunning the target;",208,0,50kk,,,Human
86,Magic Arrow,archer_human_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,5,"Shot arrow dealing +3600 power (physical) and stunning the target;",213,0,75kk,,,Human
87,Magic Arrow,archer_human_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,5,"Shot arrow dealing +3700 power (physical) and stunning the target;",217,0,100kk,,,Human
88,Magic Arrow,archer_human_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,5,"Shot arrow dealing +3800 power (physical) and stunning the target;",224,0,100kk,,,Human
89,Magic Arrow,archer_human_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,5,"Shot arrow dealing +3900 power (physical) and stunning the target;",230,0,100kk,,,Human
90,Magic Arrow,archer_human_magic_arrow,Physical/Active,bow,,900,0,target/single,1,5,5,"Shot arrow dealing +4000 power (physical) and stunning the target;",235,0,100kk,,,Human
