LEARN @ LVL, NAME,SKILL_ID,TYPE,WEAPON,WEIGHT,RANGE,AOE,TARGET, CAST s,CD s,DURRATION s, DESCR,MP,SP COST (x1000),REPLACES,RACE,COMMENT
,,,,,,,,,,,,,,,,,----------------------------Shield Mastery----------------------------
40,Shield Mastery,tank_shield_mastery,Passive,,heavy/shield,0,0,self/single,0,0,0,"Shield P.Def +50%, Shield Rate +85%;  +10% P.Def, bow resistance 16%",0,28,[]
62,Mass Taunt,mass_provoke,physical active,,,0,400,enemy/aoe,0.5,30,3,"Agro enemies around - locks them onto you for 3s then leaves you 5600 aggro ahead;",80,170,,Human
64,Mass Taunt,mass_provoke,physical active,,,0,400,enemy/aoe,0.5,30,3,"Agro enemies around - locks them onto you for 3s then leaves you 5800 aggro ahead;",85,190,,Human
66,Mass Taunt,mass_provoke,physical active,,,0,400,enemy/aoe,0.5,30,3,"Agro enemies around - locks them onto you for 3s then leaves you 6000 aggro ahead;",90,280,,Human
68,Mass Taunt,mass_provoke,physical active,,,0,400,enemy/aoe,0.5,30,3,"Agro enemies around - locks them onto you for 3s then leaves you 6300 aggro ahead;",95,320,,Human
70,Mass Taunt,mass_provoke,physical active,,,0,400,enemy/aoe,0.5,30,3,"Agro enemies around - locks them onto you for 3s then leaves you 6600 aggro ahead;",100,390,,Human
72,Mass Taunt,mass_provoke,physical active,,,0,400,enemy/aoe,0.5,30,3,"Agro enemies around - locks them onto you for 3s then leaves you 6900 aggro ahead;",105,650,,Human
74,Mass Taunt,mass_provoke,physical active,,,0,400,enemy/aoe,0.5,30,3,"Agro enemies around - locks them onto you for 3s then leaves you 7200 aggro ahead;",110,880,,Human
,,,,,,,,,,,,,,,,,----------------------------Intimidate----------------------------
40,Intimidate,tank_fear,physical debuff,,,600,0,enemy/single,0,5,10,"Intimidate the enemy to run in place;",40,28,,Demon
43,Intimidate,tank_fear,physical debuff,,,600,0,enemy/single,0,5,10,"Intimidate the enemy to run in place;",45,35,,Demon
46,Intimidate,tank_fear,physical debuff,,,600,0,enemy/single,0,5,10,"Intimidate the enemy to run in place;",50,40,,Demon
49,Intimidate,tank_fear,physical debuff,,,600,0,enemy/single,0,5,10,"Intimidate the enemy to run in place;",55,50,,Demon
52,Intimidate,tank_fear,physical debuff,,,600,0,enemy/single,0,5,10,"Intimidate the enemy to run in place;",60,74,,Demon
55,Intimidate,tank_fear,physical debuff,,,600,0,enemy/single,0,5,10,"Intimidate the enemy to run in place;",65,81,,Demon
58,Intimidate,tank_fear,physical debuff,,,600,0,enemy/single,0,5,10,"Intimidate the enemy to run in place;",70,88,,Demon
60,Intimidate,tank_fear,physical debuff,,,800,0,enemy/single,0,5,10,"Intimidate the enemy to run in place;",75,120,,Demon
62,Intimidate,tank_fear,physical debuff,,,800,0,enemy/single,0,5,10,"Intimidate the enemy to run in place;",80,170,,Demon
64,Intimidate,tank_fear,physical debuff,,,800,0,enemy/single,0,5,10,"Intimidate the enemy to run in place;",85,190,,Demon
66,Intimidate,tank_fear,physical debuff,,,800,0,enemy/single,0,5,10,"Intimidate the enemy to run in place;",90,280,,Demon
68,Intimidate,tank_fear,physical debuff,,,800,0,enemy/single,0,5,10,"Intimidate the enemy to run in place;",95,320,,Demon
70,Intimidate,tank_fear,physical debuff,,,800,0,enemy/single,0,5,10,"Intimidate the enemy to run in place;",100,390,,Demon
72,Intimidate,tank_fear,physical debuff,,,800,0,enemy/single,0,5,10,"Intimidate the enemy to run in place;",105,650,,Demon
74,Intimidate,tank_fear,physical debuff,,,800,0,enemy/single,0,5,10,"Intimidate the enemy to run in place;",110,880,,Demon
,,,,,,,,,,,,,,,,,----------------------------Freeze----------------------------
40,Freeze,tank_freeze,Magical debuff,,,600,0,enemy/single,0,3,30,"Slow enemy move speed with 30% ;",40,28,,Elf
43,Freeze,tank_freeze,Magical debuff,,,600,0,enemy/single,0,3,30,"Slow enemy move speed with 31% ;",45,35,,Elf
46,Freeze,tank_freeze,Magical debuff,,,600,0,enemy/single,0,3,30,"Slow enemy move speed with 33% ;",50,40,,Elf
49,Freeze,tank_freeze,Magical debuff,,,600,0,enemy/single,0,3,30,"Slow enemy move speed with 35% ;",55,50,,Elf
52,Freeze,tank_freeze,Magical debuff,,,600,0,enemy/single,0,3,30,"Slow enemy move speed with 37% ;",60,74,,Elf
55,Freeze,tank_freeze,Magical debuff,,,600,0,enemy/single,0,3,30,"Slow enemy move speed with 40% ;",65,81,,Elf
58,Freeze,tank_freeze,Magical debuff,,,600,0,enemy/single,0,3,30,"Slow enemy move speed with 43% ;",70,88,,Elf
60,Freeze,tank_freeze,Magical debuff,,,800,0,enemy/single,0,3,30,"Slow enemy move speed with 45% ;",75,120,,Elf
62,Freeze,tank_freeze,Magical debuff,,,800,0,enemy/single,0,3,30,"Slow enemy move speed with 47% ;",80,170,,Elf
64,Freeze,tank_freeze,Magical debuff,,,800,0,enemy/single,0,3,30,"Slow enemy move speed with 50% ;",85,190,,Elf
66,Freeze,tank_freeze,Magical debuff,,,800,0,enemy/single,0,3,30,"Slow enemy move speed with 50% ;",90,280,,Elf
68,Freeze,tank_freeze,Magical debuff,,,800,0,enemy/single,0,3,30,"Slow enemy move speed with 50% ;",95,320,,Elf
70,Freeze,tank_freeze,Magical debuff,,,800,0,enemy/single,0,3,30,"Slow enemy move speed with 50% ;",100,390,,Elf
72,Freeze,tank_freeze,Magical debuff,,,800,0,enemy/single,0,3,30,"Slow enemy move speed with 50% ;",105,650,,Elf
74,Freeze,tank_freeze,Magical debuff,,,800,0,enemy/single,0,3,30,"Slow enemy move speed with 50% ;",110,880,,Elf
,,,,,,,,,,,,,,,,,----------------------------Stay----------------------------
40,Stay,tank_stay,physical debuff,,,400,0,enemy/single,2,4,10,"Hold enemy for 10s;",40,28
43,Stay,tank_stay,physical debuff,,,400,0,enemy/single,2,4,10,"Hold enemy for 10s;",45,35
46,Stay,tank_stay,physical debuff,,,400,0,enemy/single,2,4,10,"Hold enemy for 10s;",50,40
49,Stay,tank_stay,physical debuff,,,400,0,enemy/single,2,4,10,"Hold enemy for 10s;",55,50
52,Stay,tank_stay,physical debuff,,,400,0,enemy/single,2,4,10,"Hold enemy for 10s;",60,74
55,Stay,tank_stay,physical debuff,,,400,0,enemy/single,2,4,10,"Hold enemy for 10s;",65,81
58,Stay,tank_stay,physical debuff,,,400,0,enemy/single,2,4,10,"Hold enemy for 10s;",70,88
60,Stay,tank_stay,physical debuff,,,600,0,enemy/single,2,4,10,"Hold enemy for 10s;",75,120
62,Stay,tank_stay,physical debuff,,,600,0,enemy/single,2,4,10,"Hold enemy for 10s;",80,170
64,Stay,tank_stay,physical debuff,,,600,0,enemy/single,2,4,10,"Hold enemy for 10s;",85,190
66,Stay,tank_stay,physical debuff,,,600,0,enemy/single,2,4,10,"Hold enemy for 10s;",90,280
68,Stay,tank_stay,physical debuff,,,600,0,enemy/single,2,4,10,"Hold enemy for 10s;",95,320
70,Stay,tank_stay,physical debuff,,,600,0,enemy/single,2,4,10,"Hold enemy for 10s;",100,390
72,Stay,tank_stay,physical debuff,,,600,0,enemy/single,2,4,10,"Hold enemy for 10s;",105,650
74,Stay,tank_stay,physical debuff,,,600,0,enemy/single,2,4,10,"Hold enemy for 10s;",110,880
,,,,,,,,,,,,,,,,,----------------------------Shield Smash - Rate----------------------------
40,Shield Smash - Rate,tank_smash_rate,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +1000, Decrease P.Crit.Rate with 30% and M.Crit.Rate with 5%; Requre: Shield;",62,28,[strike],Human;Elf
43,Shield Smash - Rate,tank_smash_rate,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +1200, Decrease P.Crit.Rate with 31% and M.Crit.Rate with 6%; Requre: Shield;",76,35,[strike],Human;Elf
46,Shield Smash - Rate,tank_smash_rate,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +1200, Decrease P.Crit.Rate with 33% and M.Crit.Rate with 8%; Requre: Shield;",76,40,[strike],Human;Elf
49,Shield Smash - Rate,tank_smash_rate,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +1200, Decrease P.Crit.Rate with 35% and M.Crit.Rate with 10%; Requre: Shield;",76,50,[strike],Human;Elf
52,Shield Smash - Rate,tank_smash_rate,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +1400, Decrease P.Crit.Rate with 37% and M.Crit.Rate with 12%; Requre: Shield;",83,74,[strike],Human;Elf
55,Shield Smash - Rate,tank_smash_rate,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +1600, Decrease P.Crit.Rate with 40% and M.Crit.Rate with 15%; Requre: Shield;",90,81,[strike],Human;Elf
58,Shield Smash - Rate,tank_smash_rate,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +1800, Decrease P.Crit.Rate with 43% and M.Crit.Rate with 18%; Requre: Shield;",95,88,[strike],Human;Elf
60,Shield Smash - Rate,tank_smash_rate,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +2000, Decrease P.Crit.Rate with 45% and M.Crit.Rate with 20%; Requre: Shield;",98,120,[strike],Human;Elf
62,Shield Smash - Rate,tank_smash_rate,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +2200, Decrease P.Crit.Rate with 47% and M.Crit.Rate with 22%; Requre: Shield;",100,170,[strike],Human;Elf
64,Shield Smash - Rate,tank_smash_rate,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +2400, Decrease P.Crit.Rate with 50% and M.Crit.Rate with 25%; Requre: Shield;",105,190,[strike],Human;Elf
66,Shield Smash - Rate,tank_smash_rate,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +2700, Decrease P.Crit.Rate with 50% and M.Crit.Rate with 25%; Requre: Shield;",108,280,[strike],Human;Elf
68,Shield Smash - Rate,tank_smash_rate,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +3000, Decrease P.Crit.Rate with 50% and M.Crit.Rate with 25%; Requre: Shield;",112,320,[strike],Human;Elf
70,Shield Smash - Rate,tank_smash_rate,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +3300, Decrease P.Crit.Rate with 50% and M.Crit.Rate with 25%; Requre: Shield;",114,390,[strike],Human;Elf
72,Shield Smash - Rate,tank_smash_rate,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +3700, Decrease P.Crit.Rate with 50% and M.Crit.Rate with 25%; Requre: Shield;",117,650,[strike],Human;Elf
74,Shield Smash - Rate,tank_smash_rate,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +4000, Decrease P.Crit.Rate with 50% and M.Crit.Rate with 25%; Requre: Shield;",120,880,[strike],Human;Elf
,,,,,,,,,,,,,,,,,----------------------------Shield Smash - Dmg----------------------------
40,Shield Smash - Power,tank_smash_power,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +1000, Decrease P.Crit.Dmg with 15% and M.Crit.Dmg with 3%; Requre: Shield;",62,28,[strike],Demon
43,Shield Smash - Power,tank_smash_power,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +1200, Decrease P.Crit.Dmg with 17% and M.Crit.Dmg with 4%; Requre: Shield;",76,35,[strike],Demon
46,Shield Smash - Power,tank_smash_power,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +1200, Decrease P.Crit.Dmg with 19% and M.Crit.Dmg with 5%; Requre: Shield;",76,40,[strike],Demon
49,Shield Smash - Power,tank_smash_power,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +1200, Decrease P.Crit.Dmg with 22% and M.Crit.Dmg with 7%; Requre: Shield;",76,50,[strike],Demon
52,Shield Smash - Power,tank_smash_power,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +1400, Decrease P.Crit.Dmg with 24% and M.Crit.Dmg with 8%; Requre: Shield;",83,74,[strike],Demon
55,Shield Smash - Power,tank_smash_power,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +1600, Decrease P.Crit.Dmg with 26% and M.Crit.Dmg with 9%; Requre: Shield;",90,81,[strike],Demon
58,Shield Smash - Power,tank_smash_power,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +1800, Decrease P.Crit.Dmg with 28% and M.Crit.Dmg with 11%; Requre: Shield;",95,88,[strike],Demon
60,Shield Smash - Power,tank_smash_power,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +2000, Decrease P.Crit.Dmg with 31% and M.Crit.Dmg with 12%; Requre: Shield;",98,120,[strike],Demon
62,Shield Smash - Power,tank_smash_power,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +2200, Decrease P.Crit.Dmg with 33% and M.Crit.Dmg with 13%; Requre: Shield;",100,170,[strike],Demon
64,Shield Smash - Power,tank_smash_power,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +2400, Decrease P.Crit.Dmg with 35% and M.Crit.Dmg with 15%; Requre: Shield;",105,190,[strike],Demon
66,Shield Smash - Power,tank_smash_power,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +2700, Decrease P.Crit.Dmg with 35% and M.Crit.Dmg with 15%; Requre: Shield;",108,280,[strike],Demon
68,Shield Smash - Power,tank_smash_power,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +3000, Decrease P.Crit.Dmg with 35% and M.Crit.Dmg with 15%; Requre: Shield;",112,320,[strike],Demon
70,Shield Smash - Power,tank_smash_power,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +3300, Decrease P.Crit.Dmg with 35% and M.Crit.Dmg with 15%; Requre: Shield;",114,390,[strike],Demon
72,Shield Smash - Power,tank_smash_power,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +3700, Decrease P.Crit.Dmg with 35% and M.Crit.Dmg with 15%; Requre: Shield;",117,650,[strike],Demon
74,Shield Smash - Power,tank_smash_power,Physical/Active,,/shield,40,0,enemy/single,1,6,30,"Deals Physical Damag With Power +4000, Decrease P.Crit.Dmg with 35% and M.Crit.Dmg with 15%; Requre: Shield;",120,880,[strike],Demon
,,,,,,,,,,,,,,,,,----------------------------Shield Shock----------------------------
40,Shield Shock,tank_shield_stun,physical active,,,40,0,enemy/single,1,3,9,"Stun the enemy for the duration (sucsess: x0.7);",62,28
43,Shield Shock,tank_shield_stun,physical active,,,40,0,enemy/single,1,3,9,"Stun the enemy for the duration (sucsess: x0.7);",76,35
46,Shield Shock,tank_shield_stun,physical active,,,40,0,enemy/single,1,3,9,"Stun the enemy for the duration (sucsess: x0.7);",76,40
49,Shield Shock,tank_shield_stun,physical active,,,40,0,enemy/single,1,3,9,"Stun the enemy for the duration (sucsess: x0.7);",76,50
52,Shield Shock,tank_shield_stun,physical active,,,40,0,enemy/single,1,3,9,"Stun the enemy for the duration (sucsess: x0.7);",83,74
56,Shield Shock,tank_shield_stun,physical active,,,40,0,enemy/single,1,3,9,"Stun the enemy for the duration (sucsess: x0.7);",90,81
58,Shield Shock,tank_shield_stun,physical active,,,40,0,enemy/single,1,3,9,"Stun the enemy for the duration (sucsess: x0.7);",95,88
60,Shield Shock,tank_shield_stun,physical active,,,40,0,enemy/single,1,3,9,"Stun the enemy for the duration (sucsess: x0.7);",98,120
62,Shield Shock,tank_shield_stun,physical active,,,40,0,enemy/single,1,3,9,"Stun the enemy for the duration (sucsess: x0.7);",100,170
64,Shield Shock,tank_shield_stun,physical active,,,40,0,enemy/single,1,3,9,"Stun the enemy for the duration (sucsess: x0.7);",105,190
66,Shield Shock,tank_shield_stun,physical active,,,40,0,enemy/single,1,3,9,"Stun the enemy for the duration (sucsess: x0.7);",108,280
68,Shield Shock,tank_shield_stun,physical active,,,40,0,enemy/single,1,3,9,"Stun the enemy for the duration (sucsess: x0.7);",112,320
70,Shield Shock,tank_shield_stun,physical active,,,40,0,enemy/single,1,3,9,"Stun the enemy for the duration (sucsess: x0.7);",114,390
72,Shield Shock,tank_shield_stun,physical active,,,40,0,enemy/single,1,3,9,"Stun the enemy for the duration (sucsess: x0.7);",117,650
74,Shield Shock,tank_shield_stun,physical active,,,40,0,enemy/single,1,3,9,"Stun the enemy for the duration (sucsess: x0.7);",120,880
